CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,PCA1,PCA2
1,Male,19,15,39,4,-0.6157200190433794,-1.7634808784656568
2,Male,21,15,81,4,-1.6657927134346537,-1.8207469510592622
3,Female,20,16,6,5,0.3378619085157551,-1.6747989372314545
4,Female,23,16,77,4,-1.4565732549230122,-1.7724299195461675
5,Female,31,17,40,5,-0.03846520777955376,-1.662740121505823
6,Female,22,17,76,4,-1.481685260102272,-1.7350017348931828
7,Female,35,18,6,5,1.0946166530075183,-1.5661023017675875
8,Female,23,18,94,4,-1.9263073593487199,-1.7211104867389262
9,Male,64,19,3,5,2.645177858255776,-1.460847205498572
10,Female,30,19,72,4,-0.9701305133429768,-1.6355810828111526
11,Male,67,19,14,5,2.4956886087059296,-1.4704891371309963
12,Female,35,19,99,4,-1.4568825612655656,-1.66436049840819
13,Female,58,20,15,5,2.0101872917398245,-1.4532989723700758
14,Female,24,20,77,4,-1.4132107232385545,-1.617767460436389
15,Male,37,20,13,5,1.0004296462276008,-1.4957917642959677
16,Male,22,20,79,4,-1.5694316990324888,-1.6250266916764624
17,Female,35,21,35,5,0.2940603180587694,-1.4942558471798586
18,Male,20,21,66,4,-1.3162492440994495,-1.5721638283290182
19,Male,52,23,29,5,1.3166990992703949,-1.3724340437637657
20,Female,35,23,98,4,-1.4367989870151108,-1.5103946865623719
21,Male,35,24,35,5,0.2885611748229989,-1.3798813514290238
22,Male,25,24,73,4,-1.2601851306281686,-1.457239064614458
23,Female,46,25,5,5,1.6668430333425388,-1.273967548308951
24,Male,31,25,73,4,-0.9578498423805148,-1.406135444045522
25,Female,54,28,14,5,1.8201597843473112,-1.1554863586244712
26,Male,29,28,82,4,-1.3114803180305936,-1.3092855687810272
27,Female,45,28,32,5,0.8704235061912688,-1.2013512568071443
28,Male,35,28,61,4,-0.43158091217656075,-1.2655106123902353
29,Female,40,29,31,5,0.6425326103500685,-1.1725755979221535
30,Female,23,29,87,4,-1.7545605279261711,-1.2914719464062638
31,Male,60,30,4,5,2.394819677164528,-1.051593064358209
32,Female,21,30,73,4,-1.4739623077616502,-1.2371425988807816
33,Male,53,33,4,5,2.034457475270362,-0.9523604887013634
34,Male,18,33,92,4,-2.1524451583920343,-1.157120696838667
35,Female,49,33,14,5,1.5575209322936014,-0.9756778562497388
36,Female,21,33,81,4,-1.6987875728492767,-1.134499976554252
37,Female,42,34,17,5,1.1185775301955028,-0.9570943969608976
38,Female,30,34,73,4,-1.0250419947533114,-1.0651750882350155
39,Female,36,37,26,5,0.5621681638834832,-0.8688970474643968
40,Female,20,37,75,4,-1.592319895106897,-0.9753648752602415
41,Female,65,38,35,0,1.7837401863539568,-0.7812397613318391
42,Male,24,38,92,4,-1.8574420611254077,-0.9535177486019512
43,Male,48,39,36,5,0.892681088063971,-0.7813546481069065
44,Female,31,39,61,1,-0.6545233280363264,-0.8547899870718343
45,Female,49,39,28,5,1.1627019325813122,-0.7674596432406029
46,Female,24,39,65,4,-1.11904944762065,-0.8757978438779762
47,Female,50,40,55,0,0.47133794625152614,-0.7667667526886892
48,Female,27,40,47,1,-0.47531455320277555,-0.8047869024303491
49,Female,29,40,42,1,-0.23684628171439534,-0.7931282186561615
50,Female,31,40,42,1,-0.13545683638342512,-0.7888019557721645
51,Female,49,42,52,0,0.4992244237899733,-0.6882807677626832
52,Male,33,42,60,1,-0.5312172607096447,-0.7346227442589641
53,Female,31,43,54,1,-0.4699451623969798,-0.6920252701577871
54,Male,59,43,60,0,0.7850124808477116,-0.6402564948500586
55,Female,50,43,45,0,0.7399964553305757,-0.6377274151574728
56,Male,47,43,41,0,0.6975753482600483,-0.6383508727713155
57,Female,51,44,50,0,0.6517793040933938,-0.60477187268872
58,Male,69,44,46,0,1.6739473729980543,-0.5599695700205948
59,Female,27,46,51,1,-0.5959759006002446,-0.5819038476408316
60,Male,53,46,46,0,0.8591657148597786,-0.5183300092586803
61,Male,70,46,56,0,1.4468183478582055,-0.4962216165250878
62,Male,19,46,55,1,-1.1111967428500535,-0.6050748358889719
63,Female,67,47,52,0,1.402564193042421,-0.45872024222198565
64,Female,54,47,59,0,0.5516224417707406,-0.4971063402142329
65,Male,63,48,51,0,1.2253680198667058,-0.4277814518949964
66,Male,18,48,59,1,-1.2752206219319806,-0.5368542402092331
67,Female,43,48,50,0,0.2388893317884856,-0.4695775965569278
68,Female,68,48,48,0,1.5610889288885774,-0.41256634215088955
